Количество комнат,Площадь (м²),Этаж,Адрес,Цена ($),Цена (сом)
3,109.0,12,"Бишкек, Джал-29 м-н, Садырбаева 258а",119900,10404922
2,67.0,13,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",76000,6595280
2,48.0,4,Шопоков,50000,4339000
2,58.2,7,"Бишкек, Средний Джал м-н, мкр Джал-23 18/2",72500,6291550
2,57.0,9,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",81500,7072570
3,115.0,5,"Бишкек, Московская - Белинка",160000,13884800
2,46.0,1,"Бишкек, 9 м-н",72500,6291550
1,48.0,12,"Бишкек, КНУ",72000,6248160
3,86.0,4,"Бишкек, Центральная мечеть, московская/карпинка",117000,10153260
1,38.0,4,"Бишкек, 5 м-н",67000,5814260
2,63.19,4,"Бишкек, Моссовет, Усенбаева 58 (МосСовет)",94785,8225442
2,85.0,6,"Бишкек, Парк Панфилова/Спартак, фрунзе/советская",155000,13450900
2,53.2,10,"Бишкек, Магистраль, пр. Ч. Айтматова",113000,9806140
3,85.0,4,"Бишкек, Ден Сяопина - Фучика",110000,9545800
2,52.0,13,"Бишкек, с. Кок-Джар, мкр. Кок Жар",60000,5206800
3,58.6,2,"Бишкек, 5 м-н, 5 мкр./Ул. Юнусалиева",88000,7636640
3,58.0,1,"Бишкек, с. Аламудун",61000,5293580
3,64.0,5,"Бишкек, Восток-5 м-н,  улица Айтматова 53/Чуй",76000,6595280
2,51.0,6,"Бишкек, КНУ, К. Акиева/Жумабека",86700,7523826
3,110.0,9,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",112000,9719360
1,48.0,10,"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",53000,4599340
2,61.7,15,"Бишкек, Магистраль, Б.Баатыра/А.Токомбаева",92550,8031489
3,76.0,3,"Бишкек, Политех",110000,9545800
5,113.0,10,"Бишкек, Московская - Уметалиева, Боконбаева-Уметалиева 8",178000,15446840
2,43.0,11,"Бишкек, с. Кок-Джар, мкр. Кок Жар",52500,4555950
1,53.35,4,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",71500,6204770
2,75.8,9,"Бишкек, Пишпек ж/м,  ул.Теремичкова 15",68000,5901040
3,78.0,6,"Бишкек, Сквер Тоголок Молдо, Чуйкова 132а",147000,12756660
3,58.0,5,"Бишкек, Кок-Жар м-н",85000,7376300
3,68.0,4,"Бишкек, Западный автовокзал, кыргыз театр",77000,6682060
2,52.0,1,"Бишкек, Восток-5 м-н, мамбетова",89000,7723420
2,76.0,4,"Бишкек, Улан м-н, мкрн. Улан (Бот Сад)",120000,10413600
2,80.73,7,"Бишкек, Магистраль",96876,8406899
3,134.0,3,"Бишкек, Магистраль, Малдыбаева 279",164000,14231920
3,125.0,12,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",228000,19785840
3,92.0,2,"Бишкек, Золотой квадрат, тыныстанова",195000,16922100
3,113.0,5,"Бишкек, Академия Наук, Шевченко 94-98",193000,16748540
2,43.0,4,"Бишкек, Московская - Белинка",67500,5857650
1,31.0,1,"Бишкек, 9 м-н",58000,5033240
3,126.9,8,"Бишкек, Ала-Арча ж/м",152280,13214858
2,52.0,10,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",79500,6899010
2,53.0,4,"Бишкек, Дордой Плаза",73000,6334940
2,68.35,3,"Бишкек, Чокана Валиханова - Исакеева,  ул. Исакеева/Виноградная",66000,5727480
2,73.0,13,"Бишкек, Магистраль",67500,5857650
2,69.15,5,"Бишкек, Асанбай м-н, Токомбаева/Куттубаева",85000,7376300
2,58.63,11,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",72500,6291550
2,81.0,14,"Бишкек, Горького - Алма-Атинская, Горького",65000,5640700
3,100.17,12,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",85500,7419690
2,79.4,8,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",92000,7983760
1,53.0,5,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",68000,5901040
3,100.0,11,"Бишкек, Парк Панфилова/Спартак, Жибек-Жолу/Логвиненко",140000,12149200
1,50.0,6,"Бишкек, Джал-29 м-н, мкрн. Джал-29",68500,5938265
3,91.0,13,"Бишкек, АЮ Grand,  ул. Анкара 1/31",83700,7255953
1,41.0,12,"Бишкек, с. Кок-Джар, мкр. Кок Жар",48000,4165440
