Количество комнат,Площадь,Этаж,Полный адрес,Цена (доллары),Цена (сомы)
2,79 м2,8 этаж из 12,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",$ 94 500,8 192 205 сом
1,36 м2,8 этаж из 10,"Бишкек, Чокана Валиханова - Исакеева, Исакеева 1/9/Виноградная",$ 56 000,4 854 640 сом
3,87 м2,11 этаж из 18,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",$ 125 000,10 836 250 сом
2,44 м2,2 этаж из 4,"Бишкек, 8 м-н",$ 78 000,6 761 820 сом
3,99 м2,13 этаж из 17,"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",$ 128 000,11 096 320 сом
2,95.6 м2,12 этаж из 12,"Бишкек, Магистраль",$ 162 520,14 088 859 сом
3,76 м2,4 этаж из 9,"Бишкек, Кок-Жар ж/м, 7 апреля 3/3/Медерова",$ 107 000,9 275 830 сом
2,60 м2,2 этаж из 16,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 73 000,6 328 370 сом
1,33 м2,4 этаж из 9,"Бишкек, Тунгуч м-н",$ 59 500,5 158 055 сом
2,76.4 м2,11 этаж из 12,"Бишкек, 7 м-н, Сухэ-Батора/А. Токомбаева",$ 117 000,10 142 730 сом
2,53 м2,7 этаж из 12,"Бишкек, Парк Панфилова/Спартак, Логвиненко 28",$ 97 000,8 408 930 сом
3,105 м2,14 этаж из 15,"Бишкек, Магистраль,  ул. Малдыбаева, 261",$ 80 000,6 935 200 сом
3,100 м2,2 этаж из 14,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",$ 82 500,7 151 925 сом
2,71 м2,10 этаж из 12,"Бишкек, Нижний Токольдош, Кийизбаева 33",$ 83 000,7 195 270 сом
1,42.2 м2,5 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 77 000,6 675 130 сом
1,48 м2,9 этаж из 12,"Бишкек, Пишпек ж/м, Репина/М. Алыбаева",$ 46 000,3 987 740 сом
1,48 м2,4 этаж из 19,"Бишкек, Магистраль, Советская/Южная Магистраль",$ 53 000,4 594 570 сом
3,111 м2,7 этаж из 16,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",$ 175 000,15 170 750 сом
1,35 м2,1 этаж из 14,"Бишкек, АЮ Grand,  ул.Анкар  1/19",$ 52 500,4 551 225 сом
2,83 м2,11 этаж из 14,"Бишкек, Советская - Скрябина, Медерова/Элебаева",$ 115 000,9 969 350 сом
3,96 м2,2 этаж из 14,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",$ 86 000,7 455 340 сом
2,59 м2,11 этаж из 14,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 72 500,6 285 025 сом
3,83 м2,3 этаж из 12,"Бишкек, Военторг, Токтогула 141",$ 143 000,12 396 670 сом
2,70.34 м2,3 этаж из 15,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 79 500,6 891 855 сом
1,43 м2,5 этаж из 15,"Бишкек, АЮ Grand, Ауэзова 5/3",$ 43 500,3 771 015 сом
2,73.08 м2,3 этаж из 15,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 84 500,7 325 305 сом
1,55 м2,7 этаж из 10,"Бишкек, Джал-29 м-н",$ 73 000,6 328 370 сом
