Количество комнат,Площадь,Этаж,Полный адрес,Цена (доллары),Цена (сомы)
3,79 м2,5 этаж из 16,"Бишкек, Молодая Гвардия, Фрунзе/бул. Молодой Гвардии",$ 97 000,8 408 930 сом
2,59 м2,7 этаж из 16,"Бишкек, Гагарина,  ул.Поваринская, мкр. Джал 21",$ 87 000,7 542 030 сом
3,84 м2,5 этаж из 15,"Бишкек, VEFA, Кулатова 14/Элебаева",$ 147 000,12 743 430 сом
6,80 м2,1 этаж из 2,"Иссык-Кульская область, Каракол, Кирова 6/Пржевальского",$ 28 000,2 427 320 сом
3,65.5 м2,1 этаж из 3,"Бишкек, с. Новопавловка, Абдрахманова 202/Туголбай -Ата",$ 69 000,5 981 610 сом
1,43 м2,2 этаж из 3,"Иссык-Кульская область, с. Кош-Коль, с. Кош-кол",$ 52 000,4 507 880 сом
2,78 м2,5 этаж из 10,"Бишкек, Магистраль, Аалы Токомбаева 23/1",$ 117 000,10 142 730 сом
3,85.5 м2,10 этаж из 11,"Бишкек, Джальская больница, Ахунбаева 186",$ 115 000,9 969 350 сом
5,130 м2,7 этаж из 9,"Бишкек, Магистраль, Аалы Токомбаева 23/1/Магистраль/ Сухэ Батора",$ 208 000,18 031 520 сом
1,54 м2,8 этаж из 12,"Бишкек, Кок-Жар ж/м, Кок-Жар, ул.Куйручук 28",$ 59 000,5 114 710 сом
3,100 м2,10 этаж из 13,"Бишкек, Московская - Белинка, Манаса 41а/Токтогула",$ 150 000,13 003 500 сом
5,125 м2,11 этаж из 14,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 245 000,21 239 050 сом
6,190 м2,13 этаж из 14,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 420 000,36 409 800 сом
3,116 м2,10 этаж из 16,"Бишкек, Магистраль, Сухэ Батора и Токомбаева",$ 127 000,11 009 630 сом
2,66 м2,13 этаж из 18,"Бишкек, 10 м-н",$ 80 000,6 935 200 сом
3,96 м2,2 этаж из 14,"Турция, Турция, Сейменли/Мезитли",$ 65 000,5 634 850 сом
2,82 м2,13 этаж из 14,"Бишкек, Горького - Алма-Атинская, Горького/Алматинка",$ 64 000,5 548 160 сом
2,100 м2,11 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 146 500,12 700 085 сом
3,62 м2,3 этаж из 4,"Джалал-Абадская область, Джалал-Абад, Жени жок 44",$ 70 000,6 068 300 сом
2,78 м2,8 этаж из 10,"Бишкек, Чуй - Алматинка, Чуй/Курманжан Датка",$ 97 500,8 452 275 сом
1,40 м2,12 этаж из 14,"Бишкек, с. Кок-Джар, мкр. Кок Жар",$ 48 500,4 204 465 сом
1,44 м2,11 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова 82/2",$ 73 500,6 371 715 сом
5,145.8 м2,5 этаж из 6,"Бишкек, Старый аэропорт, Грибоедова 10/Ахунбаева Бакаева",$ 164 000,14 217 160 сом
3,70 м2,10 этаж из 12,"Бишкек, Нижний Токольдош, Восток-5 по ул. Кийизбаева 54",$ 83 500,7 238 615 сом
5,100 м2,2 этаж из 9,"Бишкек, Кок-Жар ж/м, 7апреля Медерова",$ 150 000,13 003 500 сом
1,43 м2,4 этаж из 12,"Бишкек, Нижний Токольдош, Кийизбаевой, 33",$ 66 000,5 721 540 сом
1,53 м2,8 этаж из 9,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",$ 49 500,4 291 155 сом
2,74 м2,10 этаж из 10,"Бишкек, Азия Молл, Ч. Айтматова (пр. Мира)",$ 110 000,9 535 900 сом
2,63 м2,9 этаж из 9,"Бишкек, 7 м-н",$ 87 000,7 542 030 сом
2,72 м2,9 этаж из 9,"Бишкек, Лебединовка,  ул. Э. Ибраева 9 / Лермонтова.",$ 76 000,6 588 440 сом
3,56.4 м2,4 этаж из 4,"Бишкек, Советская - Скрябина, Скрябина, 19",$ 68 500,5 938 265 сом
2,45 м2,12 этаж из 13,"Бишкек, АЮ Grand, мкр. Тунгуч",$ 45 450,3 940 061 сом
3,116 м2,7 этаж из 10,"Бишкек, Магистраль, Аалы Токомбаева улица 15/3/Токомбаева",$ 210 000,18 204 900 сом
3,125 м2,9 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 189 000,16 384 410 сом
2,52 м2,9 этаж из 12,"Бишкек, Джал-29 м-н, Садырбаева 258а",$ 78 000,6 761 820 сом
5,148 м2,5 этаж из 12,"Бишкек, Магистраль, Ч.Айтматова 24/Магистраль",$ 330 000,28 607 700 сом
2,82 м2,11 этаж из 12,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",$ 98 500,8 538 965 сом
2,51 м2,4 этаж из 5,"Бишкек, Гагарина, Циалковский",$ 61 000,5 288 090 сом
2,88 м2,7 этаж из 13,"Бишкек, Золотой квадрат, Орозбекова 19",$ 250 000,21 672 500 сом
2,120 м2,4 этаж из 18,"Бишкек, Джал 15 м-н/Тыналиева",$ 165 000,14 303 850 сом
1,30 м2,2 этаж из 5,"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",$ 46 000,3 987 740 сом
2,50 м2,4 этаж из 5,"Бишкек, Моссовет",$ 78 500,6 805 165 сом
3,97 м2,9 этаж из 10,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",$ 147 300,12 769 437 сом
2,50 м2,7 этаж из 9,"Бишкек, Джал-29 м-н 21",$ 76 500,6 631 785 сом
1,41 м2,5 этаж из 11,"Бишкек, Аламедин-1 м-н, Загорская 30",$ 65 000,5 634 850 сом
1,42 м2,6 этаж из 14,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",$ 67 500,5 851 575 сом
2,52 м2,2 этаж из 4,"Бишкек, ТЭЦ, Шабдан Баатыра 41а\2/Достаевского",$ 70 200,6 085 638 сом
1,47 м2,12 этаж из 12,"Бишкек, Нижний Токольдош,  ул. Кийизбаева/Передовая (мкрн. ""Восток-5"")",$ 69 000,5 981 610 сом
1,43 м2,9 этаж из 10,"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",$ 57 500,4 984 675 сом
1,47 м2,1 этаж из 9,"Бишкек, Кок-Жар м-н, Кок жар 18",$ 63 000,5 461 470 сом
1,49 м2,1 этаж из 16,"Бишкек, Молодая Гвардия, Фрунзе/бул. Молодой Гвардии",$ 78 200,6 779 158 сом
2,52 м2,6 этаж из 9,"Бишкек, Средний Джал м-н",$ 88 000,7 628 720 сом
2,69 м2,13 этаж из 15,"Бишкек, Дворец спорта, Жумабека - Коенкозова",$ 95 220,8 254 622 сом
3,87.8 м2,3 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 162 400,14 078 456 сом
1,52 м2,3 этаж из 9,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",$ 54 500,4 724 605 сом
3,154 м2,7 этаж из 8,"Бишкек, Кок-Жар ж/м",$ 210 000,18 204 900 сом
1,31 м2,2 этаж из 3,"Бишкек, Токольдош ж/м",$ 41 000,3 554 290 сом
1,50.6 м2,10 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 68 500,5 938 265 сом
3,103 м2,8 этаж из 14,"Бишкек, Магистраль",$ 248 000,21 499 120 сом
1,53 м2,4 этаж из 9,"Бишкек, Горького - Алма-Атинская",$ 73 000,6 328 370 сом
2,80 м2,9 этаж из 13,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",$ 90 500,7 845 445 сом
1,29 м2,2 этаж из 3,"Бишкек, Махатма Ганди - БЧК, Ленингрдаская",$ 39 500,3 424 255 сом
1,43 м2,4 этаж из 12,"Бишкек, Нижний Токольдош, Кийизбаева",$ 66 000,5 721 540 сом
2,64 м2,8 этаж из 9,"Бишкек, Старый аэропорт, Ак-Кеме",$ 69 000,5 981 610 сом
2,43 м2,2 этаж из 4,"Бишкек, Юг-2 м-н, элебаева",$ 71 500,6 198 335 сом
2,50 м2,2 этаж из 5,"Бишкек, Асанбай м-н",$ 85 500,7 411 995 сом
3,83 м2,7 этаж из 9,"Бишкек, Горького - Алма-Атинская, горького/алматинского",$ 71 000,6 154 990 сом
3,59 м2,9 этаж из 10,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",$ 108 500,9 405 865 сом
1,46 м2,4 этаж из 10,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",$ 51 500,4 464 535 сом
3,100 м2,4 этаж из 14,"Бишкек, Гагарина, Джал, ул. Курчатова 81",$ 105 500,9 145 795 сом
1,48 м2,6 этаж из 12,"Бишкек, Магистраль,  ул. Куттубаева, 15",$ 83 000,7 195 270 сом
1,42.8 м2,2 этаж из 10,"Бишкек, Лебединовка",$ 34 250,2 969 133 сом
2,65 м2,10 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова 82/2",$ 130 000,11 269 700 сом
5,158 м2,10 этаж из 16,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",$ 189 000,16 384 410 сом
1,32 м2,5 этаж из 5,"Бишкек, Моссовет",$ 58 000,5 028 020 сом
2,54 м2,3 этаж из 13,"Бишкек, Верхний Джал м-н",$ 71 500,6 198 335 сом
1,36.37 м2,6 этаж из 14,"Бишкек, Горького - Алма-Атинская, Горького",$ 34 000,2 947 460 сом
1,35 м2,4 этаж из 9,"Бишкек, Аламедин-1 м-н",$ 55 000,4 767 950 сом
2,76 м2,8 этаж из 17,"Бишкек, Ипподром, Л. Толстого 126",$ 74 000,6 415 060 сом
1,30 м2,4 этаж из 8,"Бишкек, АЮ Grand, Исакеева",$ 55 000,4 767 950 сом
2,70 м2,11 этаж из 14,"Бишкек, Асанбай м-н",$ 112 000,9 709 280 сом
3,80 м2,8 этаж из 17,"Бишкек, Карпинка, Фрунзе 300/3/Гоголя",$ 225 000,19 505 250 сом
1,50 м2,10 этаж из 12,"Бишкек, Золотой квадрат",$ 79 500,6 891 855 сом
3,140 м2,6 этаж из 10,"Бишкек, Магистраль",$ 190 000,16 471 100 сом
1,42 м2,12 этаж из 13,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 69 500,6 024 955 сом
3,114 м2,10 этаж из 12,"Бишкек, Московская - Уметалиева, Московская 191/Шевченко, 27/1",$ 165 000,14 303 850 сом
3,66 м2,5 этаж из 5,"Бишкек, Сквер Тоголок Молдо, Коенкозова 8/Боконбаева",$ 98 000,8 495 620 сом
2,105 м2,2 этаж из 10,"Бишкек, Магистраль, Токомбаева, 21 к 3б",$ 142 000,12 309 980 сом
1,35 м2,9 этаж из 9,"Бишкек, Аламедин-1 м-н, Аламедин-1 микрорайон, 18",$ 56 500,4 897 985 сом
1,35 м2,7 этаж из 9,"Бишкек, 5 м-н",$ 61 000,5 288 090 сом
2,90 м2,11 этаж из 16,"Бишкек, ЖД вокзал, Панфилова/Боконбаева",$ 165 000,14 303 850 сом
3,109 м2,11 этаж из 12,"Бишкек, Московская - Уметалиева, Московская 191/Шевченко, 27/1",$ 165 000,14 303 850 сом
3,83.9 м2,9 этаж из 16,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 73 000,6 328 370 сом
1,43 м2,12 этаж из 12,"Бишкек, Нижний Токольдош, Передовая, 36",$ 71 000,6 154 990 сом
2,80 м2,11 этаж из 12,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",$ 92 000,7 975 480 сом
2,57 м2,5 этаж из 5,"Бишкек, Асанбай м-н, Асанбай мкр., 39",$ 81 000,7 021 890 сом
1,48 м2,8 этаж из 10,"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",$ 62 000,5 374 780 сом
3,112 м2,3 этаж из 12,"Бишкек, Кок-Жар ж/м",$ 123 200,10 680 208 сом
1,30 м2,3 этаж из 12,"Бишкек, Шлагбаум, Московская / Фучика",$ 27 500,2 383 975 сом
2,77 м2,5 этаж из 16,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",$ 88 000,7 628 720 сом
2,80 м2,11 этаж из 12,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",$ 93 000,8 062 170 сом
2,65 м2,10 этаж из 12,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",$ 83 000,7 195 270 сом
5,141.5 м2,10 этаж из 12,"Бишкек, Магистраль, Токомбаева, 29",$ 228 000,19 765 320 сом
3,109 м2,9 этаж из 12,"Бишкек, Магистраль, Дуйшеева 6/5/Токомбаева",$ 196 000,16 991 240 сом
3,85 м2,10 этаж из 15,"Бишкек, VEFA, Кулатова/Элебаева",$ 137 000,11 876 530 сом
1,38 м2,8 этаж из 12,"Бишкек, Академия Наук, Тимирязева 100/Абдумомунова",$ 72 000,6 241 680 сом
1,58 м2,9 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 87 000,7 542 030 сом
1,43 м2,5 этаж из 12,"Бишкек, Космос, Абая 93Б",$ 67 999,5 894 833 сом
2,58.2 м2,7 этаж из 14,"Бишкек, Средний Джал м-н, мкр Джал-23 18/2",$ 72 500,6 285 025 сом
1,29 м2,2 этаж из 3,"Бишкек, ТЭЦ",$ 48 500,4 204 465 сом
3,58 м2,4 этаж из 4,"Бишкек, 6 м-н 39",$ 84 000,7 281 960 сом
3,59 м2,2 этаж из 4,"Бишкек, 5 м-н 49",$ 85 500,7 411 995 сом
5,120 м2,5 этаж из 10,"Бишкек, КНУ, К. Акиева 232/Жумабека",$ 158 000,13 697 020 сом
3,58 м2,2 этаж из 4,"Бишкек, 8 м-н",$ 90 000,7 802 100 сом
2,59 м2,7 этаж из 9,"Бишкек, Кок-Жар м-н",$ 87 500,7 585 375 сом
1,34 м2,8 этаж из 9,"Бишкек, Кок-Жар м-н",$ 57 500,4 984 675 сом
3,60 м2,2 этаж из 5,"Бишкек, Моссовет, Абдрахманова 135/Токтогула",$ 85 000,7 368 650 сом
3,110 м2,3 этаж из 9,"Бишкек, Лебединовка, Ленина/Кузнечная",$ 126 500,10 966 285 сом
3,56 м2,3 этаж из 4,"Бишкек, Мед. академия, Тыныстанов",$ 73 900,6 406 391 сом
3,132 м2,9 этаж из 10,"Бишкек, Аламедин-1 м-н",$ 155 000,13 436 950 сом
2,58 м2,1 этаж из 9,"Бишкек, 10 м-н",$ 92 000,7 975 480 сом
2,77 м2,4 этаж из 12,"Бишкек, АЮ Grand, Тунгуч 6/1",$ 95 000,8 234 600 сом
3,58 м2,4 этаж из 4,"Бишкек, 4 м-н, Кайбагарова",$ 88 000,7 627 840 сом
3,148 м2,8 этаж из 9,"Бишкек, 5 м-н",$ 195 000,16 904 550 сом
1,49 м2,1 этаж из 5,"Бишкек, Ден Сяопина - Фучика, Ильменская 19/Сельповская",$ 50 000,4 334 500 сом
3,60 м2,1 этаж из 5,"Ошская область, Ош 1",$ 65 000,5 634 850 сом
3,115 м2,9 этаж из 9,"Бишкек, Горького - Панфилова 1",$ 215 000,18 638 350 сом
1,59 м2,11 этаж из 16,"Бишкек, Мед. академия",$ 75 000,6 501 750 сом
2,56.5 м2,9 этаж из 13,"Бишкек, Военторг, Сыдыкова 123",$ 113 000,9 795 970 сом
3,103 м2,3 этаж из 12,"Бишкек, Советская - Скрябина, Скрябина 38б",$ 170 000,14 737 300 сом
2,80 м2,7 этаж из 15,"Бишкек, VEFA",$ 135 000,11 703 150 сом
2,66 м2,7 этаж из 10,"Бишкек, Асанбай м-н",$ 135 000,11 703 150 сом
2,78 м2,16 этаж из 16,"Бишкек, Гагарина,  ул.Поваринская, мкр. Джал",$ 77 000,6 675 130 сом
1,47 м2,1 этаж из 5,"Бишкек, Кара-Жыгач ж/м, Дордой 40",$ 58 000,5 028 020 сом
1,45 м2,8 этаж из 9,"Бишкек, Ак-Орго ж/м",$ 65 000,5 634 850 сом
3,69.7 м2,9 этаж из 9,"Бишкек, Восток-5 м-н, д. 31",$ 88 000,7 628 720 сом
1,52.5 м2,5 этаж из 12,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",$ 69 500,6 024 955 сом
1,36 м2,7 этаж из 9,"Бишкек, 12 м-н, 12 4",$ 67 000,5 808 230 сом
1,52 м2,11 этаж из 11,"Бишкек, Джал-23 м-н (Нижний Джал), Ахунбаева 67/1",$ 65 000,5 634 850 сом
3,58 м2,1 этаж из 4,"Бишкек, 6 м-н, 6 17",$ 88 800,7 698 072 сом
1,48 м2,5 этаж из 13,"Бишкек, АЮ Grand, мкр. Тунгуч/Чохан Валиханова",$ 57 500,4 984 675 сом
1,45 м2,4 этаж из 9,"Бишкек, с. Кок-Джар, Алма-Атинская/Южная магистраль",$ 64 999,5 634 763 сом
3,72 м2,8 этаж из 9,"Бишкек, 12 м-н",$ 97 500,8 452 275 сом
2,47 м2,3 этаж из 5,"Бишкек, 5 м-н 43",$ 73 000,6 328 370 сом
1,53.3 м2,5 этаж из 16,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",$ 58 630,5 082 635 сом
2,56 м2,4 этаж из 9,"Бишкек, Тунгуч м-н",$ 82 500,7 151 925 сом
2,52.5 м2,12 этаж из 12,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",$ 85 000,7 368 650 сом
3,114 м2,8 этаж из 10,"Бишкек, VEFA, Горького/Совесткая",$ 153 000,13 263 570 сом
3,76.5 м2,2 этаж из 12,"Бишкек, АЮ Grand стр. 6/1",$ 85 500,7 411 995 сом
2,70 м2,9 этаж из 10,"Бишкек, Улан-2 м-н",$ 88 000,7 628 720 сом
2,52 м2,4 этаж из 9,"Бишкек, Горького - Алма-Атинская",$ 67 000,5 808 230 сом
3,106 м2,10 этаж из 14,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",$ 169 000,14 650 610 сом
2,82 м2,8 этаж из 12,"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",$ 94 300,8 174 867 сом
1,44 м2,3 этаж из 10,"Бишкек, Лебединовка,  ул.Ленина(быв Салиева), пер. Чкалова",$ 58 000,5 028 020 сом
2,70 м2,9 этаж из 9,"Бишкек, Ак Кеме",$ 100 000,8 669 000 сом
3,68 м2,8 этаж из 10,"Бишкек, 12 м-н, 12 мкр-н",$ 111 850,9 696 277 сом
2,51 м2,4 этаж из 5,"Кара-Балта, Квартал  Победы 11",$ 50 000,4 334 500 сом
3,97 м2,6 этаж из 10,"Бишкек, Сквер Тоголок Молдо",$ 220 000,19 071 800 сом
5,73 м2,5 этаж из 10,"Бишкек, Сквер Тоголок Молдо, Коенкозова/Чуйкова",$ 135 000,11 703 150 сом
1,50 м2,10 этаж из 11,"Бишкек, Тунгуч 44, Тунгуч-2 64",$ 68 000,5 894 920 сом
1,53 м2,7 этаж из 12,"Бишкек, Магистраль",$ 68 500,5 938 265 сом
3,118 м2,10 этаж из 10,"Бишкек, 5 м-н, Каралаева",$ 180 000,15 604 200 сом
2,37 м2,2 этаж из 2,с. Новопокровка,$ 40 000,3 467 600 сом
2,47 м2,4 этаж из 4,"Бишкек, 6 м-н",$ 76 000,6 588 440 сом
2,59 м2,11 этаж из 14,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 70 000,6 068 300 сом
1,36 м2,1 этаж из 9,"Бишкек, Чокана Валиханова - Исакеева",$ 56 500,4 897 985 сом
2,75 м2,1 этаж из 10,"Бишкек, Арча-Бешик ж/м, Садырбаева/Абдрахманова 140",$ 104 000,9 015 760 сом
1,54 м2,8 этаж из 13,"Бишкек, Горького - Алма-Атинская",$ 57 700,5 002 013 сом
1,51 м2,3 этаж из 9,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",$ 55 210,4 786 155 сом
2,79 м2,8 этаж из 12,"Бишкек, Магистраль",$ 100 000,8 669 000 сом
3,125 м2,8 этаж из 9,"Бишкек, Сквер Тоголок Молдо, Логвиненко 8/2/Боконбаева",$ 225 000,19 505 250 сом
3,105 м2,14 этаж из 15,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",$ 194 250,16 839 533 сом
3,86 м2,8 этаж из 9,"Бишкек, Улан-2 м-н",$ 105 000,9 102 450 сом
3,116 м2,7 этаж из 10,"Бишкек, Магистраль, Аалы Токомбаева улица 15/3/Токомбаева",$ 210 000,18 204 900 сом
1,33 м2,4 этаж из 5,"Бишкек, Парк Панфилова/Спартак, Панфилова 200",$ 52 300,4 533 887 сом
3,107 м2,10 этаж из 16,"Бишкек, Бишкек-Парк, Токтогула 165/Исанова",$ 210 000,18 204 900 сом
2,43 м2,2 этаж из 4,"Бишкек, Достук, Ибраимова 146а",$ 63 500,5 504 815 сом
2,87 м2,8 этаж из 12,"Бишкек, Кок-Жар м-н",$ 130 000,11 269 700 сом
2,80 м2,2 этаж из 12,"Бишкек, Магистраль, Сухэ Батора",$ 84 000,7 281 960 сом
5,135 м2,8 этаж из 10,"Бишкек, ЖД вокзал, Орозбекова 1",$ 200 000,17 338 000 сом
3,135 м2,13 этаж из 13,"Бишкек, Золотой квадрат, Орозбекова/Чокморова",$ 280 000,24 273 200 сом
2,65 м2,9 этаж из 12,"Бишкек, Академия Наук, Уметалиева, 120",$ 125 000,10 836 250 сом
2,82 м2,3 этаж из 5,"Бишкек, Ала-Арча ж/м, с.Ортосай, ул. Лесхозная",$ 212 000,18 378 280 сом
3,97 м2,9 этаж из 10,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",$ 147 300,12 769 437 сом
3,99 м2,12 этаж из 14,"Бишкек, Чуй - Алматинка, пр.Чуй/АлмаАтинка",$ 94 000,8 148 860 сом
3,87 м2,6 этаж из 15,"Бишкек, АЮ Grand, Ауэзова 5/3",$ 82 900,7 186 601 сом
1,40 м2,1 этаж из 7,"Бишкек, Кудайберген, Абдраева 198/Кустанайския",$ 48 000,4 161 120 сом
3,84 м2,7 этаж из 9,"Бишкек, Джал-23 м-н (Нижний Джал)",$ 129 000,11 183 010 сом
2,63 м2,9 этаж из 9,"Бишкек, Гагарина, Дагестанская 3",$ 78 500,6 805 165 сом
6,291 м2,4 этаж из 5,"Бишкек, Ала-Арча ж/м, с.Ортосай, ул. Лесхозная",$ 520 000,45 078 800 сом
3,75 м2,15 этаж из 18,"Бишкек, Военторг, Токтогула 132/Тоголок-Молдо",$ 97 500,8 452 275 сом
1,43 м2,1 этаж из 3,"Бишкек, Таатан, чуй 53",$ 53 000,4 594 570 сом
2,65 м2,8 этаж из 9,"Бишкек, Душанбинка, Худайбергенов 94а",$ 115 000,9 969 350 сом
2,69 м2,13 этаж из 15,"Бишкек, Дворец спорта, Жумабека - Коенкозова",$ 95 220,8 254 622 сом
3,122 м2,6 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 225 000,19 505 250 сом
1,35 м2,6 этаж из 9,"Бишкек, 5 м-н",$ 61 500,5 331 435 сом
1,30 м2,2 этаж из 4,"Бишкек, Политех",$ 52 000,4 507 880 сом
2,70 м2,10 этаж из 13,"Бишкек, Политех, г. Бишкек, ул.Целинная 21 (район Политех)",$ 117 000,10 142 730 сом
2,50 м2,7 этаж из 9,"Бишкек, Восток-5 м-н",$ 86 000,7 455 340 сом
1,36 м2,7 этаж из 9,"Бишкек, Восток-5 м-н",$ 58 500,5 071 365 сом
2,57 м2,3 этаж из 12,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",$ 95 000,8 235 550 сом
2,43 м2,2 этаж из 4,"Бишкек, Юг-2 м-н",$ 73 500,6 371 715 сом
2,43 м2,5 этаж из 5,"Бишкек, Центральная мечеть",$ 68 000,5 894 920 сом
5,145.8 м2,5 этаж из 6,"Бишкек, Старый аэропорт, Грибоедова 10/Ахунбаева Бакаева",$ 164 000,14 217 160 сом
3,99.44 м2,14 этаж из 16,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 96 000,8 322 240 сом
3,68 м2,9 этаж из 9,"Бишкек, 12 м-н, 12",$ 106 000,9 189 140 сом
3,61 м2,3 этаж из 5,"Бишкек, Московская - Уметалиева",$ 95 000,8 235 550 сом
1,41 м2,12 этаж из 14,"Бишкек, АЮ Grand,  ул. Анкара",$ 43 500,3 771 015 сом
3,133 м2,9 этаж из 11,"Бишкек, Магистраль, пр. Мира/Южная магистраль",$ 230 000,19 938 700 сом
3,135 м2,12 этаж из 12,"Бишкек, Магистраль, Токомбаева/Сухэ Батора",$ 156 000,13 523 640 сом
2,44 м2,4 этаж из 4,"Бишкек, 9 м-н",$ 74 000,6 415 060 сом
3,58 м2,3 этаж из 4,"Бишкек, Юбилейка, кулатова",$ 92 000,7 975 480 сом
1,32 м2,1 этаж из 9,"Бишкек, Кок-Жар м-н, Жуная Мавлянова/Жуная Мавлянова",$ 57 000,4 941 330 сом
2,80.55 м2,4 этаж из 16,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",$ 142 574,12 359 697 сом
1,50 м2,3 этаж из 5,"Бишкек, 110 квартал ж/м",$ 51 000,4 421 190 сом
1,40 м2,7 этаж из 9,"Бишкек, Аламедин-1 м-н",$ 58 500,5 071 365 сом
5,124 м2,20 этаж из 25,"Бишкек, Магистраль, Б.Баатыра/А.Токомбаева",$ 117 800,10 212 082 сом
2,64 м2,4 этаж из 12,"Бишкек, Бишкек-Парк, Московская 191/Шевченко, 27/1",$ 87 500,7 585 375 сом
3,58 м2,3 этаж из 4,"Бишкек, 4 м-н",$ 92 000,7 975 480 сом
2,40 м2,3 этаж из 4,"Бишкек, Мед. академия, Суеркулова/Тыныстанова",$ 65 000,5 634 850 сом
1,41.3 м2,3 этаж из 4,"Бишкек, Таатан, кольбаева",$ 47 500,4 117 775 сом
2,66 м2,1 этаж из 9,"Бишкек, Алматинка - Магистраль",$ 82 000,7 108 580 сом
1,57.2 м2,6 этаж из 12,"Бишкек, Кара-Жыгач ж/м, Кара-жыгач",$ 72 500,6 285 025 сом
3,84.9 м2,10 этаж из 12,"Бишкек, КНУ, Жибек Жолу/Шевченко",$ 84 500,7 325 305 сом
3,150 м2,3 этаж из 10,"Бишкек, Азия Молл, Ч. Айтматова (пр. Мира) 36",$ 205 000,17 771 450 сом
1,32 м2,4 этаж из 4,"Бишкек, 6 м-н",$ 58 500,5 071 365 сом
2,67 м2,10 этаж из 14,"Бишкек, Госрегистр, Л.Толстого и пр. Чынгыза Айтматова",$ 78 000,6 761 820 сом
1,45 м2,4 этаж из 13,"Бишкек, Джальская больница",$ 70 000,6 068 300 сом
3,104 м2,6 этаж из 14,"Бишкек, Асанбай м-н, Токомбаева 21/Куттубаева",$ 109 000,9 449 210 сом
3,100 м2,13 этаж из 15,"Бишкек, Асанбай м-н, Токомбаева 21/Куттубаева",$ 99 000,8 582 310 сом
2,62 м2,7 этаж из 10,"Бишкек, Магистраль, Токомбаева 29",$ 75 000,6 501 750 сом
3,58 м2,1 этаж из 3,"Бишкек, с. Аламудун",$ 60 000,5 201 400 сом
3,113.6 м2,17 этаж из 18,"Бишкек, Магистраль, Токомбаева / Куттубаева",$ 134 000,11 616 460 сом
1,50.6 м2,11 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 68 310,5 921 794 сом
2,64 м2,14 этаж из 14,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",$ 72 000,6 241 680 сом
2,40.6 м2,11 этаж из 14,"Бишкек, с. Кок-Джар, мкр. Кок Жар",$ 50 500,4 377 845 сом
1,63.2 м2,11 этаж из 15,"Бишкек, Магистраль",$ 77 000,6 675 130 сом
2,73 м2,14 этаж из 14,"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",$ 89 500,7 758 755 сом
1,42 м2,3 этаж из 5,"Бишкек, Аламедин-1 м-н",$ 55 000,4 767 950 сом
5,101 м2,14 этаж из 14,"Бишкек, Военторг, Тоголок Молдо/Токтогула",$ 165 000,14 303 850 сом
